ID,class
AUR39427,protein_id
HGNC:28816,hgnc_id
QKT24096,protein_id
ENSE00002310135,ensembl_exon_id
PTHR48122,hmmpanther
AAR94912,protein_id
ENSE00001591022,ensembl_exon_id
AGW62219,protein_id
AXZ70574,protein_id
ATP02293,protein_id
ENSE00003667274,ensembl_exon_id
EAW67330,protein_id
uc059pmx.1,ucsc
ENSE00003752465,ensembl_exon_id
UPI0000E59316,uniparc
ENSE00003659521,ensembl_exon_id
ENSE00003091543,ensembl_exon_id
KR135852,embl
uc001xmb.4,ucsc
A0A024RD55,uniprotsptrembl
ENSE00001901562,ensembl_exon_id
ENSE00003790549,ensembl_exon_id
ENSE00003572629,ensembl_exon_id
ENSE00002546115,ensembl_exon_id
ASM81468,protein_id
uc003nai.5,ucsc
ADO22462,protein_id
QMP95936,protein_id
CCDS83062,ccds
ENSE00003790518,ensembl_exon_id
E7EWW7,uniprotsptrembl
uc288fpq.1,ucsc
ENSE00001856107,ensembl_exon_id
ENSE00003769449,ensembl_exon_id
AGW76664,protein_id
BC007396,embl
URS0000BDAAB3,rnacentral
NR_104124,refseq_ncrna
ENSE00002301820,ensembl_exon_id
ENSE00002353494,ensembl_exon_id
QMP94825,protein_id
UPI00000011D8,uniparc
AC012169,embl
KPNB1-216,hgnc_trans_name
ENSE00000991716,ensembl_exon_id
SM01395,smart
uc060nnk.1,ucsc
ENSE00003920144,ensembl_exon_id
uc286kau.1,ucsc
ENSG00000230671,ensembl_gene_id
100191040,entrezgene_id
ENSE00001631258,ensembl_exon_id
FAM217A-204,hgnc_trans_name
ENSE00001659335,ensembl_exon_id
ENSE00001939341,ensembl_exon_id
ASS26515,protein_id
ENSE00003740272,ensembl_exon_id
4NW7,pdb
CCDS14673,ccds
AK055611,embl
CCDS42848,ccds
NUP210L-202,hgnc_trans_name
uc062rvu.1,ucsc
AXG50097,protein_id
HGNC:24222,hgnc_id
P3H2-203,hgnc_trans_name
ENSE00003788457,ensembl_exon_id
AGR43471,protein_id
ENSE00001253850,ensembl_exon_id
UPI0003F48194,uniparc
KT587498,embl
UPI000000D8A4,uniparc
uc287kvz.1,ucsc
ENSE00001744222,ensembl_exon_id
ENSG00000276136,ensembl_gene_id
LINC02841,wikigene_name
ZNF529-202,hgnc_trans_name
AGW79840,protein_id
NP_620693,refseq_peptide
uc287paa.1,ucsc
A0A1B0GW64,uniprotswissprot
RAC2-206,hgnc_trans_name
ENSE00001668907,ensembl_exon_id
ENSE00001461662,ensembl_exon_id
ABR57790,protein_id
URS000006D15B,rnacentral
ENSE00002585499,ensembl_exon_id
uc060lvu.1,ucsc
ENSE00002119709,ensembl_exon_id
ENSE00001382368,ensembl_exon_id
NM_015911,refseq_mrna
ENSE00003764124,ensembl_exon_id
ENSE00001944288,ensembl_exon_id
ENSE00003818998,ensembl_exon_id
ENSE00003608048,ensembl_exon_id
ENSE00002601117,ensembl_exon_id
PSMA6-209,hgnc_trans_name
uc059qjg.1,ucsc
ENSE00001709743,ensembl_exon_id
NM_001008744,refseq_mrna
PTHR12011:SF348,hmmpanther
EF093555,embl
PTHR48034:SF1,hmmpanther
PTHR23226:SF154,hmmpanther
CEP63-251,hgnc_trans_name
ENSE00003792948,ensembl_exon_id
ENSE00001664747,ensembl_exon_id
ENSE00001618177,ensembl_exon_id
uc287nxa.1,ucsc
ENSE00003882890,ensembl_exon_id
AKQ20571,protein_id
LINC02359-202,hgnc_trans_name
ENSE00002392353,ensembl_exon_id
ENSE00001615688,ensembl_exon_id
ASR13726,protein_id
ENSE00001164865,ensembl_exon_id
uc288ukm.1,ucsc
IARS1-237,hgnc_trans_name
NR_049831,refseq_ncrna
uc061alq.1,ucsc
uc021uuu.2,ucsc
ENSE00002561465,ensembl_exon_id
ENSE00003776609,ensembl_exon_id
ENSE00003919336,ensembl_exon_id
ENSE00003552254,ensembl_exon_id
ENSE00003857782,ensembl_exon_id
